"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation","call_distance","call_door","call_wing_DS","call_wing_DP","call_wing","SweptAreaDSKM2","SweptAreaWSKM2"
"11","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",41,65,2002,10,31,715,54,30,"D",39.31,-9.7716,39.2883,-9.7966,"07E0",158,"V",NA,1,1,"C",NA,NA,NA,3148,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,3.3,NA,NA,NA,NA,NA,230,4,270,1.5,19.1,13.5,35.83,35.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3148,45.7,15.1,14.5286773260801,14.5286773260801,0.1438636,0.0457362762225002
"12","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",74,34,2002,10,24,645,53,30,"D",37.2583,-8.9183,37.2866,-8.9299,"03E1",61,"V",NA,1,1,"C",NA,NA,NA,3315,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,3,NA,NA,NA,NA,NA,350,2,320,1.5,18.6,15,35.8,35.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3315,45.7,15.1,13.2673142804818,13.2673142804818,0.1514955,0.0439811468397972
"13","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",70,38,2002,10,24,1520,55,30,"D",37.385,-9.1516,37.41,-9.135,"03E0",328,"V",NA,1,1,"C",NA,NA,NA,3148,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3.3,NA,NA,NA,NA,NA,220,2,270,1,19.7,12.5,35.85,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3148,45.7,15.1,15.4967371201938,15.4967371201938,0.1438636,0.04878372845437
"14","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",63,44,2002,10,25,1510,54,30,"D",37.6,-8.9716,37.6266,-8.9633,"04E1",150,"V",NA,1,1,"C",NA,NA,NA,3148,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.3,NA,NA,NA,NA,NA,220,2,270,1,19.6,14.1,35.8,35.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3148,45.7,15.1,14.4598125191482,14.4598125191482,0.1438636,0.0455194898102785
"15","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",30,62,2002,10,29,1510,54,30,"D",39.9383,-9.3799,39.9733,-9.3783,"08E0",122,"V",NA,1,1,"C",NA,NA,NA,3894,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,3.3,NA,NA,NA,NA,NA,180,5,180,1.5,18.7,13.5,35.69,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3894,45.7,15.1,14.1859764552153,14.1859764552153,0.1779558,0.0552401923166082
"16","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",52,52,2002,10,27,1455,53,30,"D",38.2183,-8.8433,38.1916,-8.8466,"05E1",70,"V",NA,1,1,"C",NA,NA,NA,2963,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,3.2,NA,NA,NA,NA,NA,NA,2,315,1,19.1,14.7,35.81,36.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,13.4497106860869,13.4497106860869,0.1354091,0.0398514927628754
"17","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",15,17,2002,10,13,1445,53,30,"D",40.7716,-8.8983,40.795,-8.8783,"10E1",40,"V",NA,1,1,"C",NA,NA,NA,3093,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3.5,NA,NA,NA,NA,NA,180,7,270,2,19,NA,35.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3093,45.7,15.1,12.7080242576077,12.7080242576077,0.1413501,0.0393059190287806
"18","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",75,25,2002,10,18,1445,54,30,"D",36.9349,-8.8099,36.9516,-8.7766,"02E1",110,"V",NA,1,1,"C",NA,NA,NA,3494,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,3.2,NA,NA,NA,NA,NA,90,2,90,0.5,17.3,NA,35.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3494,45.7,15.1,14.0487488822598,14.0487488822598,0.1596758,0.0490863285946157
"19","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",51,51,2002,10,27,1335,54,30,"D",38.235,-8.8833,38.2616,-8.8816,"05E1",110,"V",NA,1,1,"C",NA,NA,NA,2963,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.2,NA,NA,NA,NA,NA,NA,2,315,1,19.4,14.6,35.92,36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.0487488822598,14.0487488822598,0.1354091,0.0416264429381358
"20","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",34,61,2002,10,29,1330,54,30,"D",39.8433,-9.25,39.8683,-9.2566,"08E0",104,"V",NA,1,1,"C",NA,NA,NA,2963,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,3.2,NA,NA,NA,NA,NA,180,5,180,1,18.8,13.8,35.73,35.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,13.9744107433213,13.9744107433213,0.1354091,0.041406179032461
